Freq.,V(n003)
1.40E-02,"(-8.52604646714377e-08dB,-8.14106780743155e-03°)"
1.40E-02,"(-8.56540125003748e-08dB,-8.15983490669303e-03°)"
1.40E-02,"(-8.60493703720025e-08dB,-8.17864526858465e-03°)"
1.41E-02,"(-8.64465566085429e-08dB,-8.19749899283707e-03°)"
1.41E-02,"(-8.68455769959612e-08dB,-8.21639617941084e-03°)"
1.41E-02,"(-8.72464373202225e-08dB,-8.23533692849694e-03°)"
1.42E-02,"(-8.76491472246018e-08dB,-8.25432134051733e-03°)"
1.42E-02,"(-8.80537192453566e-08dB,-8.27334951612545e-03°)"
1.42E-02,"(-8.84601553111421e-08dB,-8.29242155620679e-03°)"
1.43E-02,"(-8.88684689225432e-08dB,-8.31153756187937e-03°)"
1.43E-02,"(-8.92786677941799e-08dB,-8.33069763449435e-03°)"
1.43E-02,"(-8.96907596406724e-08dB,-8.34990187563650e-03°)"
1.44E-02,"(-9.01047541052957e-08dB,-8.36915038712479e-03°)"
1.44E-02,"(-9.05206598669974e-08dB,-8.38844327101288e-03°)"
1.44E-02,"(-9.09384817474151e-08dB,-8.40778062958971e-03°)"
1.45E-02,"(-9.13582361401162e-08dB,-8.42716256538002e-03°)"
1.45E-02,"(-9.17799269024108e-08dB,-8.44658918114488e-03°)"
1.45E-02,"(-9.22035656062291e-08dB,-8.46606057988227e-03°)"
1.46E-02,"(-9.26291541802262e-08dB,-8.48557686482756e-03°)"
1.46E-02,"(-9.30567138396069e-08dB,-8.50513813945416e-03°)"
1.46E-02,"(-9.34862426557165e-08dB,-8.52474450747397e-03°)"
1.47E-02,"(-9.39177560577950e-08dB,-8.54439607283800e-03°)"
1.47E-02,"(-9.43512598318075e-08dB,-8.56409293973685e-03°)"
1.47E-02,"(-9.47867674783390e-08dB,-8.58383521260135e-03°)"
1.48E-02,"(-9.52242828546998e-08dB,-8.60362299610304e-03°)"
1.48E-02,"(-9.56638175328197e-08dB,-8.62345639515476e-03°)"
1.48E-02,"(-9.61053821203015e-08dB,-8.64333551491120e-03°)"
1.49E-02,"(-9.65489824031102e-08dB,-8.66326046076946e-03°)"
1.49E-02,"(-9.69946338104859e-08dB,-8.68323133836959e-03°)"
1.49E-02,"(-9.74423421283937e-08dB,-8.70324825359519e-03°)"
1.50E-02,"(-9.78921112141437e-08dB,-8.72331131257392e-03°)"
1.50E-02,"(-9.83439651759234e-08dB,-8.74342062167812e-03°)"
1.50E-02,"(-9.87978991920956e-08dB,-8.76357628752530e-03°)"
1.51E-02,"(-9.92539277275728e-08dB,-8.78377841697880e-03°)"
1.51E-02,"(-9.97120652472675e-08dB,-8.80402711714827e-03°)"
1.51E-02,"(-1.00172313679835e-07dB,-8.82432249539027e-03°)"
1.52E-02,"(-1.00634690383170e-07dB,-8.84466465930889e-03°)"
1.52E-02,"(-1.01099198250256e-07dB,-8.86505371675620e-03°)"
1.52E-02,"(-1.01565848853022e-07dB,-8.88548977583296e-03°)"
1.53E-02,"(-1.02034655692054e-07dB,-8.90597294488909e-03°)"
1.53E-02,"(-1.02505627446299e-07dB,-8.92650333252429e-03°)"
1.53E-02,"(-1.02978771830378e-07dB,-8.94708104758862e-03°)"
1.54E-02,"(-1.03454099451893e-07dB,-8.96770619918305e-03°)"
1.54E-02,"(-1.03931621882773e-07dB,-8.98837889666007e-03°)"
1.55E-02,"(-1.04411346837641e-07dB,-9.00909924962423e-03°)"
1.55E-02,"(-1.04893288781407e-07dB,-9.02986736793276e-03°)"
1.55E-02,"(-1.05377456393019e-07dB,-9.05068336169614e-03°)"
1.56E-02,"(-1.05863855458444e-07dB,-9.07154734127868e-03°)"
1.56E-02,"(-1.06352500442592e-07dB,-9.09245941729909e-03°)"
1.56E-02,"(-1.06843399060086e-07dB,-9.11341970063110e-03°)"
1.57E-02,"(-1.07336565775836e-07dB,-9.13442830240402e-03°)"
1.57E-02,"(-1.07832011197446e-07dB,-9.15548533400336e-03°)"
1.57E-02,"(-1.08329741110881e-07dB,-9.17659090707136e-03°)"
1.58E-02,"(-1.08829769981054e-07dB,-9.19774513350766e-03°)"
1.58E-02,"(-1.09332104558257e-07dB,-9.21894812546984e-03°)"
1.58E-02,"(-1.09836760271730e-07dB,-9.24019999537403e-03°)"
1.59E-02,"(-1.10343741943112e-07dB,-9.26150085589550e-03°)"
1.59E-02,"(-1.10853065001642e-07dB,-9.28285081996928e-03°)"
1.60E-02,"(-1.11364740054923e-07dB,-9.30425000079071e-03°)"
1.60E-02,"(-1.11878775781902e-07dB,-9.32569851181612e-03°)"
1.60E-02,"(-1.12395184718838e-07dB,-9.34719646676335e-03°)"
1.61E-02,"(-1.12913977473333e-07dB,-9.36874397961237e-03°)"
1.61E-02,"(-1.13435164652990e-07dB,-9.39034116460596e-03°)"
1.61E-02,"(-1.13958756865411e-07dB,-9.41198813625021e-03°)"
1.62E-02,"(-1.14484769539836e-07dB,-9.43368500931518e-03°)"
1.62E-02,"(-1.15013204604922e-07dB,-9.45543189883550e-03°)"
1.63E-02,"(-1.15544080382889e-07dB,-9.47722892011100e-03°)"
1.63E-02,"(-1.16077411338652e-07dB,-9.49907618870729e-03°)"
1.63E-02,"(-1.16613198436538e-07dB,-9.52097382045639e-03°)"
1.64E-02,"(-1.17151458070115e-07dB,-9.54292193145734e-03°)"
1.64E-02,"(-1.17692205668622e-07dB,-9.56492063807681e-03°)"
1.64E-02,"(-1.18235448946681e-07dB,-9.58697005694973e-03°)"
1.65E-02,"(-1.18781198511893e-07dB,-9.60907030497990e-03°)"
1.65E-02,"(-1.19329468829172e-07dB,-9.63122149934062e-03°)"
1.66E-02,"(-1.19880267613138e-07dB,-9.65342375747527e-03°)"
1.66E-02,"(-1.20433609328703e-07dB,-9.67567719709800e-03°)"
1.66E-02,"(-1.20989507476453e-07dB,-9.69798193619431e-03°)"
1.67E-02,"(-1.21547969771007e-07dB,-9.72033809302167e-03°)"
1.67E-02,"(-1.22109008748625e-07dB,-9.74274578611018e-03°)"
1.67E-02,"(-1.22672635981236e-07dB,-9.76520513426316e-03°)"
1.68E-02,"(-1.23238868826734e-07dB,-9.78771625655783e-03°)"
1.68E-02,"(-1.23807714999742e-07dB,-9.81027927234588e-03°)"
1.69E-02,"(-1.24379183179205e-07dB,-9.83289430125416e-03°)"
1.69E-02,"(-1.24953291687348e-07dB,-9.85556146318525e-03°)"
1.69E-02,"(-1.25530048238790e-07dB,-9.87828087831818e-03°)"
1.70E-02,"(-1.26109470191427e-07dB,-9.90105266710900e-03°)"
1.70E-02,"(-1.26691566224206e-07dB,-9.92387695029143e-03°)"
1.71E-02,"(-1.27276348873385e-07dB,-9.94675384887751e-03°)"
1.71E-02,"(-1.27863828746567e-07dB,-9.96968348415828e-03°)"
1.71E-02,"(-1.28454023201647e-07dB,-9.99266597770434e-03°)"
1.72E-02,"(-1.29046938024592e-07dB,-1.00157014513665e-02°)"
1.72E-02,"(-1.29642592501949e-07dB,-1.00387900272767e-02°)"
1.73E-02,"(-1.30240994348342e-07dB,-1.00619318278480e-02°)"
1.73E-02,"(-1.30842159957336e-07dB,-1.00851269757761e-02°)"
1.73E-02,"(-1.31446098972207e-07dB,-1.01083755940392e-02°)"
1.74E-02,"(-1.32052827786524e-07dB,-1.01316778058991e-02°)"
1.74E-02,"(-1.32662353150579e-07dB,-1.01550337349020e-02°)"
1.75E-02,"(-1.33274697243905e-07dB,-1.01784435048784e-02°)"
1.75E-02,"(-1.33889864888139e-07dB,-1.02019072399448e-02°)"
1.75E-02,"(-1.34507872476850e-07dB,-1.02254250645033e-02°)"
1.76E-02,"(-1.35128733510623e-07dB,-1.02489971032433e-02°)"
1.76E-02,"(-1.35752458597060e-07dB,-1.02726234811411e-02°)"
1.77E-02,"(-1.36379065094058e-07dB,-1.02963043234616e-02°)"
1.77E-02,"(-1.37008560716236e-07dB,-1.03200397557582e-02°)"
1.77E-02,"(-1.37640962821490e-07dB,-1.03438299038736e-02°)"
1.78E-02,"(-1.38276286839061e-07dB,-1.03676748939410e-02°)"
1.78E-02,"(-1.38914538554913e-07dB,-1.03915748523839e-02°)"
1.79E-02,"(-1.39555738219924e-07dB,-1.04155299059177e-02°)"
1.79E-02,"(-1.40199899334681e-07dB,-1.04395401815495e-02°)"
1.79E-02,"(-1.40847033471113e-07dB,-1.04636058065794e-02°)"
1.80E-02,"(-1.41497154129805e-07dB,-1.04877269086010e-02°)"
1.80E-02,"(-1.42150275775672e-07dB,-1.05119036155018e-02°)"
1.81E-02,"(-1.42806409016315e-07dB,-1.05361360554644e-02°)"
1.81E-02,"(-1.43465575066940e-07dB,-1.05604243569667e-02°)"
1.82E-02,"(-1.44127781642167e-07dB,-1.05847686487828e-02°)"
1.82E-02,"(-1.44793046099893e-07dB,-1.06091690599837e-02°)"
1.82E-02,"(-1.45461380976374e-07dB,-1.06336257199379e-02°)"
1.83E-02,"(-1.46132799772197e-07dB,-1.06581387583122e-02°)"
1.83E-02,"(-1.46807316952273e-07dB,-1.06827083050722e-02°)"
1.84E-02,"(-1.47484948910173e-07dB,-1.07073344904832e-02°)"
1.84E-02,"(-1.48165708182152e-07dB,-1.07320174451107e-02°)"
1.85E-02,"(-1.48849610197452e-07dB,-1.07567572998212e-02°)"
1.85E-02,"(-1.49536668456659e-07dB,-1.07815541857830e-02°)"
1.85E-02,"(-1.50226901281994e-07dB,-1.08064082344666e-02°)"
1.86E-02,"(-1.50920312530769e-07dB,-1.08313195776457e-02°)"
1.86E-02,"(-1.51616932097137e-07dB,-1.08562883473978e-02°)"
1.87E-02,"(-1.52316764802736e-07dB,-1.08813146761047e-02°)"
1.87E-02,"(-1.53019826076806e-07dB,-1.09063986964535e-02°)"
1.87E-02,"(-1.53726135205898e-07dB,-1.09315405414371e-02°)"
1.88E-02,"(-1.54435699904632e-07dB,-1.09567403443551e-02°)"
1.88E-02,"(-1.55148543316869e-07dB,-1.09819982388142e-02°)"
1.89E-02,"(-1.55864677978866e-07dB,-1.10073143587293e-02°)"
1.89E-02,"(-1.56584115462556e-07dB,-1.10326888383239e-02°)"
1.90E-02,"(-1.57306875054487e-07dB,-1.10581218121309e-02°)"
1.90E-02,"(-1.58032971219574e-07dB,-1.10836134149934e-02°)"
1.91E-02,"(-1.58762417458401e-07dB,-1.11091637820652e-02°)"
1.91E-02,"(-1.59495230164537e-07dB,-1.11347730488118e-02°)"
1.91E-02,"(-1.60231426695877e-07dB,-1.11604413510110e-02°)"
1.92E-02,"(-1.60971023445990e-07dB,-1.11861688247536e-02°)"
1.92E-02,"(-1.61714031986806e-07dB,-1.12119556064439e-02°)"
1.93E-02,"(-1.62460468711894e-07dB,-1.12378018328009e-02°)"
1.93E-02,"(-1.63210352907803e-07dB,-1.12637076408587e-02°)"
1.94E-02,"(-1.63963698075120e-07dB,-1.12896731679672e-02°)"
1.94E-02,"(-1.64720519643084e-07dB,-1.13156985517930e-02°)"
1.95E-02,"(-1.65480834969593e-07dB,-1.13417839303202e-02°)"
1.95E-02,"(-1.66244657555232e-07dB,-1.13679294418507e-02°)"
1.95E-02,"(-1.67012010543860e-07dB,-1.13941352250054e-02°)"
1.96E-02,"(-1.67782902614427e-07dB,-1.14204014187246e-02°)"
1.96E-02,"(-1.68557353053483e-07dB,-1.14467281622692e-02°)"
1.97E-02,"(-1.69335377290268e-07dB,-1.14731155952209e-02°)"
1.97E-02,"(-1.70116994611334e-07dB,-1.14995638574830e-02°)"
1.98E-02,"(-1.70902219481594e-07dB,-1.15260730892817e-02°)"
1.98E-02,"(-1.71691066365961e-07dB,-1.15526434311662e-02°)"
1.99E-02,"(-1.72483558408295e-07dB,-1.15792750240098e-02°)"
1.99E-02,"(-1.73279706216200e-07dB,-1.16059680090105e-02°)"
2.00E-02,"(-1.74079528111900e-07dB,-1.16327225276918e-02°)"
2.00E-02,"(-1.74883041453289e-07dB,-1.16595387219034e-02°)"
2.00E-02,"(-1.75690268419902e-07dB,-1.16864167338221e-02°)"
2.01E-02,"(-1.76501217690686e-07dB,-1.17133567059524e-02°)"
2.01E-02,"(-1.77315910480847e-07dB,-1.17403587811273e-02°)"
2.02E-02,"(-1.78134359326644e-07dB,-1.17674231025090e-02°)"
2.02E-02,"(-1.78956589300592e-07dB,-1.17945498135899e-02°)"
2.03E-02,"(-1.79782616796260e-07dB,-1.18217390581930e-02°)"
2.03E-02,"(-1.80612460135872e-07dB,-1.18489909804730e-02°)"
2.04E-02,"(-1.81446126069719e-07dB,-1.18763057249167e-02°)"
2.04E-02,"(-1.82283644491957e-07dB,-1.19036834363442e-02°)"
2.05E-02,"(-1.83125027938842e-07dB,-1.19311242599094e-02°)"
2.05E-02,"(-1.83970293768272e-07dB,-1.19586283411007e-02°)"
2.06E-02,"(-1.84819464159779e-07dB,-1.19861958257419e-02°)"
2.06E-02,"(-1.85672550685295e-07dB,-1.20138268599931e-02°)"
2.07E-02,"(-1.86529574560025e-07dB,-1.20415215903512e-02°)"
2.07E-02,"(-1.87390555070520e-07dB,-1.20692801636509e-02°)"
2.07E-02,"(-1.88255514396313e-07dB,-1.20971027270652e-02°)"
2.08E-02,"(-1.89124460252027e-07dB,-1.21249894281067e-02°)"
2.08E-02,"(-1.89997418674503e-07dB,-1.21529404146278e-02°)"
2.09E-02,"(-1.90874405092983e-07dB,-1.21809558348218e-02°)"
2.09E-02,"(-1.91755441687001e-07dB,-1.22090358372236e-02°)"
2.10E-02,"(-1.92640544850125e-07dB,-1.22371805707104e-02°)"
2.10E-02,"(-1.93529733868906e-07dB,-1.22653901845030e-02°)"
2.11E-02,"(-1.94423028994222e-07dB,-1.22936648281657e-02°)"
2.11E-02,"(-1.95320443726660e-07dB,-1.23220046516078e-02°)"
2.12E-02,"(-1.96222001210081e-07dB,-1.23504098050842e-02°)"
2.12E-02,"(-1.97127721695362e-07dB,-1.23788804391963e-02°)"
2.13E-02,"(-1.98037620611746e-07dB,-1.24074167048923e-02°)"
2.13E-02,"(-1.98951721103094e-07dB,-1.24360187534686e-02°)"
2.14E-02,"(-1.99870040527301e-07dB,-1.24646867365705e-02°)"
2.14E-02,"(-2.00792598170918e-07dB,-1.24934208061926e-02°)"
2.15E-02,"(-2.01719416213480e-07dB,-1.25222211146802e-02°)"
2.15E-02,"(-2.02650510084226e-07dB,-1.25510878147294e-02°)"
2.16E-02,"(-2.03585902927020e-07dB,-1.25800210593886e-02°)"
2.16E-02,"(-2.04525612099756e-07dB,-1.26090210020590e-02°)"
2.17E-02,"(-2.05469658817641e-07dB,-1.26380877964952e-02°)"
2.17E-02,"(-2.06418062367226e-07dB,-1.26672215968065e-02°)"
2.18E-02,"(-2.07370845892372e-07dB,-1.26964225574574e-02°)"
2.18E-02,"(-2.08328026750975e-07dB,-1.27256908332683e-02°)"
2.19E-02,"(-2.09289625193915e-07dB,-1.27550265794167e-02°)"
2.19E-02,"(-2.10255659543415e-07dB,-1.27844299514377e-02°)"
2.20E-02,"(-2.11226157764973e-07dB,-1.28139011052251e-02°)"
2.20E-02,"(-2.12201132394849e-07dB,-1.28434401970318e-02°)"
2.21E-02,"(-2.13180608505559e-07dB,-1.28730473834712e-02°)"
2.21E-02,"(-2.14164607312309e-07dB,-1.29027228215175e-02°)"
2.22E-02,"(-2.15153146172995e-07dB,-1.29324666685070e-02°)"
2.22E-02,"(-2.16146247267152e-07dB,-1.29622790821384e-02°)"
2.23E-02,"(-2.17143935667295e-07dB,-1.29921602204741e-02°)"
2.23E-02,"(-2.18146223909684e-07dB,-1.30221102419410e-02°)"
2.24E-02,"(-2.19153142852799e-07dB,-1.30521293053309e-02°)"
2.24E-02,"(-2.20164706961556e-07dB,-1.30822175698019e-02°)"
2.25E-02,"(-2.21180940344142e-07dB,-1.31123751948790e-02°)"
2.25E-02,"(-2.22201866144420e-07dB,-1.31426023404547e-02°)"
2.26E-02,"(-2.23227502684612e-07dB,-1.31728991667903e-02°)"
2.26E-02,"(-2.24257875037237e-07dB,-1.32032658345166e-02°)"
2.27E-02,"(-2.25293002488844e-07dB,-1.32337025046345e-02°)"
2.28E-02,"(-2.26332907218969e-07dB,-1.32642093385161e-02°)"
2.28E-02,"(-2.27377612371472e-07dB,-1.32947864979056e-02°)"
2.29E-02,"(-2.28427138197233e-07dB,-1.33254341449199e-02°)"
2.29E-02,"(-2.29481508804441e-07dB,-1.33561524420498e-02°)"
2.30E-02,"(-2.30540749265612e-07dB,-1.33869415521605e-02°)"
2.30E-02,"(-2.31604876938643e-07dB,-1.34178016384928e-02°)"
2.31E-02,"(-2.32673914967395e-07dB,-1.34487328646638e-02°)"
2.31E-02,"(-2.33747889388714e-07dB,-1.34797353946675e-02°)"
2.32E-02,"(-2.34826823346460e-07dB,-1.35108093928763e-02°)"
2.32E-02,"(-2.35910733234202e-07dB,-1.35419550240414e-02°)"
2.33E-02,"(-2.36999648946095e-07dB,-1.35731724532937e-02°)"
2.33E-02,"(-2.38093587840035e-07dB,-1.36044618461449e-02°)"
2.34E-02,"(-2.39192577881523e-07dB,-1.36358233684881e-02°)"
2.34E-02,"(-2.40296642214418e-07dB,-1.36672571865989e-02°)"
2.35E-02,"(-2.41405798196619e-07dB,-1.36987634671363e-02°)"
2.36E-02,"(-2.42520079579589e-07dB,-1.37303423771433e-02°)"
2.36E-02,"(-2.43639498899589e-07dB,-1.37619940840480e-02°)"
2.37E-02,"(-2.44764088943753e-07dB,-1.37937187556647e-02°)"
2.37E-02,"(-2.45893868034308e-07dB,-1.38255165601942e-02°)"
2.38E-02,"(-2.47028861243770e-07dB,-1.38573876662254e-02°)"
2.38E-02,"(-2.48169098466293e-07dB,-1.38893322427355e-02°)"
2.39E-02,"(-2.49314594166792e-07dB,-1.39213504590914e-02°)"
2.39E-02,"(-2.50465375346438e-07dB,-1.39534424850506e-02°)"
2.40E-02,"(-2.51621471899387e-07dB,-1.39856084907615e-02°)"
2.40E-02,"(-2.52782903112189e-07dB,-1.40178486467651e-02°)"
2.41E-02,"(-2.53949694057363e-07dB,-1.40501631239955e-02°)"
2.42E-02,"(-2.55121875593390e-07dB,-1.40825520937806e-02°)"
2.42E-02,"(-2.56299465078167e-07dB,-1.41150157278435e-02°)"
2.43E-02,"(-2.57482487584211e-07dB,-1.41475541983031e-02°)"
2.43E-02,"(-2.58670972041350e-07dB,-1.41801676776751e-02°)"
2.44E-02,"(-2.59864945450755e-07dB,-1.42128563388727e-02°)"
2.44E-02,"(-2.61064428063306e-07dB,-1.42456203552078e-02°)"
2.45E-02,"(-2.62269444951520e-07dB,-1.42784599003921e-02°)"
2.45E-02,"(-2.63480027938208e-07dB,-1.43113751485374e-02°)"
2.46E-02,"(-2.64696196309920e-07dB,-1.43443662741569e-02°)"
2.47E-02,"(-2.65917977067831e-07dB,-1.43774334521663e-02°)"
2.47E-02,"(-2.67145400106093e-07dB,-1.44105768578844e-02°)"
2.48E-02,"(-2.68378483746932e-07dB,-1.44437966670341e-02°)"
2.48E-02,"(-2.69617261741813e-07dB,-1.44770930557435e-02°)"
2.49E-02,"(-2.70861759163254e-07dB,-1.45104662005465e-02°)"
2.49E-02,"(-2.72112003012425e-07dB,-1.45439162783842e-02°)"
2.50E-02,"(-2.73368013540209e-07dB,-1.45774434666056e-02°)"
2.51E-02,"(-2.74629823533741e-07dB,-1.46110479429683e-02°)"
2.51E-02,"(-2.75897456136884e-07dB,-1.46447298856398e-02°)"
2.52E-02,"(-2.77170941243794e-07dB,-1.46784894731984e-02°)"
2.52E-02,"(-2.78450302962660e-07dB,-1.47123268846339e-02°)"
2.53E-02,"(-2.79735575044947e-07dB,-1.47462422993488e-02°)"
2.54E-02,"(-2.81026773884225e-07dB,-1.47802358971592e-02°)"
2.54E-02,"(-2.82323934196288e-07dB,-1.48143078582957e-02°)"
2.55E-02,"(-2.83627080089324e-07dB,-1.48484583634043e-02°)"
2.55E-02,"(-2.84936245314800e-07dB,-1.48826875935475e-02°)"
2.56E-02,"(-2.86251451087923e-07dB,-1.49169957302052e-02°)"
2.56E-02,"(-2.87572727302848e-07dB,-1.49513829552756e-02°)"
2.57E-02,"(-2.88900103853730e-07dB,-1.49858494510762e-02°)"
2.58E-02,"(-2.90233605813087e-07dB,-1.50203954003450e-02°)"
2.58E-02,"(-2.91573261146419e-07dB,-1.50550209862410e-02°)"
2.59E-02,"(-2.92919103605192e-07dB,-1.50897263923454e-02°)"
2.59E-02,"(-2.94271156333269e-07dB,-1.51245118026629e-02°)"
2.60E-02,"(-2.95629450189132e-07dB,-1.51593774016220e-02°)"
2.61E-02,"(-2.96994013138282e-07dB,-1.51943233740767e-02°)"
2.61E-02,"(-2.98364876039202e-07dB,-1.52293499053069e-02°)"
2.62E-02,"(-2.99742065893064e-07dB,-1.52644571810197e-02°)"
2.62E-02,"(-3.01125612594025e-07dB,-1.52996453873502e-02°)"
2.63E-02,"(-3.02515544107585e-07dB,-1.53349147108627e-02°)"
2.64E-02,"(-3.03911894185208e-07dB,-1.53702653385517e-02°)"
2.64E-02,"(-3.05314686935087e-07dB,-1.54056974578423e-02°)"
2.65E-02,"(-3.06723956108687e-07dB,-1.54412112565923e-02°)"
2.65E-02,"(-3.08139728707180e-07dB,-1.54768069230919e-02°)"
2.66E-02,"(-3.09562037517705e-07dB,-1.55124846460659e-02°)"
2.67E-02,"(-3.10990908577109e-07dB,-1.55482446146739e-02°)"
2.67E-02,"(-3.12426380458493e-07dB,-1.55840870185115e-02°)"
2.68E-02,"(-3.13868474377066e-07dB,-1.56200120476115e-02°)"
2.69E-02,"(-3.15317224084295e-07dB,-1.56560198924447e-02°)"
2.69E-02,"(-3.16772664295972e-07dB,-1.56921107439211e-02°)"
2.70E-02,"(-3.18234819120289e-07dB,-1.57282847933905e-02°)"
2.70E-02,"(-3.19703725201693e-07dB,-1.57645422326442e-02°)"
2.71E-02,"(-3.21179408577032e-07dB,-1.58008832539153e-02°)"
2.72E-02,"(-3.22661906855081e-07dB,-1.58373080498802e-02°)"
2.72E-02,"(-3.24151244144030e-07dB,-1.58738168136594e-02°)"
2.73E-02,"(-3.25647459016985e-07dB,-1.59104097388186e-02°)"
2.74E-02,"(-3.27150580403772e-07dB,-1.59470870193698e-02°)"
2.74E-02,"(-3.28660639162877e-07dB,-1.59838488497722e-02°)"
2.75E-02,"(-3.30177666152782e-07dB,-1.60206954249332e-02°)"
2.75E-02,"(-3.31701698017937e-07dB,-1.60576269402095e-02°)"
2.76E-02,"(-3.33232762723843e-07dB,-1.60946435914083e-02°)"
2.77E-02,"(-3.34770894986293e-07dB,-1.61317455747880e-02°)"
2.77E-02,"(-3.36316126628100e-07dB,-1.61689330870596e-02°)"
2.78E-02,"(-3.37868490436401e-07dB,-1.62062063253873e-02°)"
2.79E-02,"(-3.39428023055646e-07dB,-1.62435654873902e-02°)"
2.79E-02,"(-3.40994750522682e-07dB,-1.62810107711425e-02°)"
2.80E-02,"(-3.42568713339267e-07dB,-1.63185423751754e-02°)"
2.81E-02,"(-3.44149936577921e-07dB,-1.63561604984776e-02°)"
2.81E-02,"(-3.45738461704730e-07dB,-1.63938653404965e-02°)"
2.82E-02,"(-3.47334316685196e-07dB,-1.64316571011393e-02°)"
2.82E-02,"(-3.48937539128095e-07dB,-1.64695359807740e-02°)"
2.83E-02,"(-3.50548160856240e-07dB,-1.65075021802305e-02°)"
2.84E-02,"(-3.52166217549752e-07dB,-1.65455559008018e-02°)"
2.84E-02,"(-3.53791741995771e-07dB,-1.65836973442446e-02°)"
2.85E-02,"(-3.55424772767401e-07dB,-1.66219267127811e-02°)"
2.86E-02,"(-3.57065336865816e-07dB,-1.66602442090994e-02°)"
2.86E-02,"(-3.58713475757104e-07dB,-1.66986500363549e-02°)"
2.87E-02,"(-3.60369222228403e-07dB,-1.67371443981714e-02°)"
2.88E-02,"(-3.62032611959837e-07dB,-1.67757274986421e-02°)"
2.88E-02,"(-3.63703678702872e-07dB,-1.68143995423304e-02°)"
2.89E-02,"(-3.65382458137631e-07dB,-1.68531607342717e-02°)"
2.90E-02,"(-3.67068986908562e-07dB,-1.68920112799737e-02°)"
2.90E-02,"(-3.68763299731462e-07dB,-1.69309513854181e-02°)"
2.91E-02,"(-3.70465432286452e-07dB,-1.69699812570613e-02°)"
2.92E-02,"(-3.72175425075292e-07dB,-1.70091011018356e-02°)"
2.92E-02,"(-3.73893307027812e-07dB,-1.70483111271504e-02°)"
2.93E-02,"(-3.75619120574427e-07dB,-1.70876115408933e-02°)"
2.94E-02,"(-3.77352898502278e-07dB,-1.71270025514309e-02°)"
2.94E-02,"(-3.79094683241778e-07dB,-1.71664843676104e-02°)"
2.95E-02,"(-3.80844504687087e-07dB,-1.72060571987602e-02°)"
2.96E-02,"(-3.82602401411309e-07dB,-1.72457212546915e-02°)"
2.96E-02,"(-3.84368413916204e-07dB,-1.72854767456989e-02°)"
2.97E-02,"(-3.86142579810551e-07dB,-1.73253238825620e-02°)"
2.98E-02,"(-3.87924931881489e-07dB,-1.73652628765461e-02°)"
2.99E-02,"(-3.89715509666452e-07dB,-1.74052939394038e-02°)"
2.99E-02,"(-3.91514355595854e-07dB,-1.74454172833755e-02°)"
3.00E-02,"(-3.93321505349820e-07dB,-1.74856331211911e-02°)"
3.01E-02,"(-3.95136991715489e-07dB,-1.75259416660707e-02°)"
3.01E-02,"(-3.96960863873570e-07dB,-1.75663431317263e-02°)"
3.02E-02,"(-3.98793150753894e-07dB,-1.76068377323620e-02°)"
3.03E-02,"(-4.00633894786876e-07dB,-1.76474256826761e-02°)"
3.03E-02,"(-4.02483139367259e-07dB,-1.76881071978618e-02°)"
3.04E-02,"(-4.04340915353530e-07dB,-1.77288824936082e-02°)"
3.05E-02,"(-4.06207269997742e-07dB,-1.77697517861017e-02°)"
3.05E-02,"(-4.08082237051364e-07dB,-1.78107152920271e-02°)"
3.06E-02,"(-4.09965857980483e-07dB,-1.78517732285687e-02°)"
3.07E-02,"(-4.11858174251189e-07dB,-1.78929258134113e-02°)"
3.08E-02,"(-4.13759223472261e-07dB,-1.79341732647417e-02°)"
3.08E-02,"(-4.15669052895751e-07dB,-1.79755158012497e-02°)"
3.09E-02,"(-4.17587691451493e-07dB,-1.80169536421291e-02°)"
3.10E-02,"(-4.19515190248848e-07dB,-1.80584870070790e-02°)"
3.10E-02,"(-4.21451584967942e-07dB,-1.81001161163051e-02°)"
3.11E-02,"(-4.23396916110536e-07dB,-1.81418411905205e-02°)"
3.12E-02,"(-4.25351225142718e-07dB,-1.81836624509472e-02°)"
3.13E-02,"(-4.27314558352217e-07dB,-1.82255801193174e-02°)"
3.13E-02,"(-4.29286952383482e-07dB,-1.82675944178740e-02°)"
3.14E-02,"(-4.31268452559915e-07dB,-1.83097055693726e-02°)"
3.15E-02,"(-4.33259093597311e-07dB,-1.83519137970821e-02°)"
3.16E-02,"(-4.35258927569362e-07dB,-1.83942193247861e-02°)"
3.16E-02,"(-4.37267993049176e-07dB,-1.84366223767843e-02°)"
3.17E-02,"(-4.39286330538514e-07dB,-1.84791231778930e-02°)"
3.18E-02,"(-4.41313983432122e-07dB,-1.85217219534473e-02°)"
3.18E-02,"(-4.43350996089071e-07dB,-1.85644189293014e-02°)"
3.19E-02,"(-4.45397411904106e-07dB,-1.86072143318302e-02°)"
3.20E-02,"(-4.47453271378990e-07dB,-1.86501083879304e-02°)"
3.21E-02,"(-4.49518622730105e-07dB,-1.86931013250220e-02°)"
3.21E-02,"(-4.51593506459213e-07dB,-1.87361933710491e-02°)"
3.22E-02,"(-4.53677967889715e-07dB,-1.87793847544810e-02°)"
3.23E-02,"(-4.55772047523374e-07dB,-1.88226757043142e-02°)"
3.24E-02,"(-4.57875797433882e-07dB,-1.88660664500727e-02°)"
3.24E-02,"(-4.59989256194347e-07dB,-1.89095572218097e-02°)"
3.25E-02,"(-4.62112470092496e-07dB,-1.89531482501088e-02°)"
